score,ranking,score_num,movie_name
9.4,1,942997,这个杀手不太冷
9.2,2,81188,七武士
9.2,3,54287,头号玩家
9.1,4,311226,指环王3：王者无敌
9.0,5,430683,搏击俱乐部
9.0,6,361642,蝙蝠侠：黑暗骑士
9.0,7,292885,指环王2：双塔奇兵
9.0,8,8363,将军号
8.9,9,327757,指环王1：魔戒再现
8.9,10,62988,攻壳机动队
8.8,11,458355,V字仇杀队
8.8,12,312526,勇敢的心
8.8,13,303023,黑客帝国
8.8,14,251544,幽灵公主
8.8,15,35101,乱
8.8,16,31464,黑客帝国动画版
8.8,17,14825,用心棒
8.8,18,12000,桥
8.8,19,9802,攻壳机动队SSS
8.7,20,668929,让子弹飞
8.7,21,189307,谍影重重3
8.7,22,176329,英雄本色
8.7,23,153889,纵横四海
8.7,24,96081,东邪西毒：终极版
8.7,25,46148,精英部队2：大敌当前
8.7,26,16151,蝙蝠侠：黑暗骑士归来(下)
8.7,27,8791,椿三十郎
8.7,28,4934,铁达尼号沉没记
8.6,29,558885,阿凡达
8.6,30,387691,超能陆战队
8.6,31,368440,加勒比海盗
8.6,32,306491,蝙蝠侠：黑暗骑士崛起
8.6,33,263262,东邪西毒
8.6,34,145339,终结者2：审判日
8.6,35,132002,小萝莉的猴神大叔
8.6,36,102116,枪火
8.6,37,48919,恶童
8.6,38,19675,宾虚
8.6,39,9432,敲开天堂的门
8.6,40,7702,西线无战事
8.6,41,4124,碧血金沙
8.6,42,3948,落叶
8.5,43,342422,红海行动
8.5,44,268267,被解救的姜戈
8.5,45,213560,疯狂的麦克斯4：狂暴之路
8.5,46,198346,谍影重重
8.5,47,189699,新龙门客栈
8.5,48,164730,谍影重重2
8.5,49,160750,黑客帝国3：矩阵革命
8.5,50,145736,勇闯夺命岛
8.5,51,117273,黑鹰坠落
8.5,52,46739,启示
8.5,53,9270,蜘蛛巢城
8.5,54,8490,午夜狂奔
8.5,55,5427,大菩萨岭
8.5,56,4983,兽兵卫忍风帖
8.5,57,3720,盗信情缘
8.5,58,2136,死亡的游戏
8.5,59,1660,通往自由的通道
8.5,60,1143,笔中情
8.4,61,358206,王牌特工：特工学院
8.4,62,219868,变脸
8.4,63,217558,速度与激情5
8.4,64,147254,黑客帝国2：重装上阵
8.4,65,137261,罪恶之城
8.4,66,127289,角斗士
8.4,67,118582,暗战
8.4,68,111341,神探
8.4,69,85608,黄海
8.4,70,66895,王牌对王牌
8.4,71,66844,盗火线
8.4,72,21210,阿基拉
8.4,73,15753,精武门
8.4,74,11084,杀死比尔整个血腥事件
8.4,75,8275,侠女
8.4,76,7351,最长的一天
8.4,77,4110,红线
8.4,78,3619,飞行器里的好小伙，或我是怎样花25小时11分从伦敦飞到巴黎
8.4,79,1837,福禄双霸天
8.4,80,1070,忍者小英雄
8.3,81,386085,釜山行
8.3,82,269817,速度与激情7
8.3,83,247590,金刚狼3：殊死一战
8.3,84,167477,无间道2
8.3,85,90920,热血警探
8.3,86,89074,笑傲江湖2：东方不败
8.3,87,66397,星球大战
8.3,88,54421,太极旗飘扬
8.3,89,49056,天国王朝
8.3,90,47989,星球大战3：绝地归来
8.3,91,38164,喋血双雄
8.3,92,32006,一个字头的诞生
8.3,93,21380,荒野大镖客
8.3,94,11462,正义联盟：闪点悖论
8.3,95,4935,日落黄沙
8.3,96,4160,战国英豪
8.3,97,2317,菜鸟总动员：毕业
8.3,98,2243,飞出个未来大电影2：万背之兽
8.3,99,2180,孟菲斯美女号
8.3,100,1026,摔角狂热 30
8.2,101,387349,西游记之大圣归来
8.2,102,263019,碟中谍4
8.2,103,262249,X战警：逆转未来
8.2,104,233125,第九区
8.2,105,201438,霍比特人3：五军之战
8.2,106,200728,霍比特人2：史矛革之战
8.2,107,145742,蝙蝠侠：侠影之谜
8.2,108,133531,飓风营救
8.2,109,95294,买凶拍人
8.2,110,59027,英雄本色2
8.2,111,57461,星球大战前传3：西斯的复仇
8.2,112,54737,精武英雄
8.2,113,51730,星球大战2：帝国反击战
8.2,114,41176,最终幻想7：圣子降临
8.2,115,40328,西北偏北
8.2,116,24313,雌雄大盗
8.2,117,18697,猛龙过江
8.2,118,17271,追捕
8.2,119,16439,爱的曝光
8.2,120,15034,卡桑德拉大桥
8.2,121,6895,蝙蝠侠：红影迷踪
8.2,122,6889,白色严冬
8.2,123,6781,奏鸣曲
8.2,124,5436,老人Z
8.2,125,4716,关山飞渡
8.2,126,4663,胜利之光
8.2,127,3848,机动警察剧场版1
8.2,128,2845,天与地
8.2,129,2626,迎春阁之风波
8.2,130,2389,战略大作战
8.2,131,1559,红河
8.2,132,1369,疤面人
8.1,133,251173,变形金刚
8.1,134,231701,霍比特人1：意外之旅
8.1,135,220378,银河护卫队2
8.1,136,206260,加勒比海盗2：聚魂棺
8.1,137,202797,杀死比尔
8.1,138,191832,X战警：第一战
8.1,139,168500,国产凌凌漆
8.1,140,164499,铁甲钢拳
8.1,141,156610,罗拉快跑
8.1,142,153606,师父
8.1,143,121981,孤胆特工
8.1,144,115936,空中监狱
8.1,145,100489,真实的谎言
8.1,146,75301,守望者
8.1,147,73419,国家公敌
8.1,148,48053,虎胆龙威
8.1,149,45782,第一滴血
8.1,150,43123,监狱风云
8.1,151,42129,怒火救援
8.1,152,35307,夺宝奇兵3
8.1,153,33866,枪王
8.1,154,33812,处刑人
8.1,155,33719,铁雨
8.1,156,25391,野战排
8.1,157,23750,爱国者
8.1,158,21553,喋血街头
8.1,159,20495,魁拔Ⅲ战神崛起
8.1,160,17518,双旗镇刀客
8.1,161,13855,小倩
8.1,162,11711,龙争虎斗
8.1,163,10947,虎！虎！虎！
8.1,164,4585,蝙蝠侠：元年
8.1,165,3793,遥远的桥
8.1,166,3481,山中传奇
8.1,167,3422,变形金刚大电影
8.1,168,2751,大饭店
8.1,169,2434,跳跃大搜查线：湾岸署史上最恶的3日间
8.1,170,2146,喊山
8.1,171,1839,血染雪山堡
8.1,172,1544,忠烈图
8.1,173,1244,太秦灯光下
8.0,174,379586,湄公河行动
8.0,175,333881,复仇者联盟
8.0,176,293582,功夫
8.0,177,274206,功夫熊猫2
8.0,178,257813,银河护卫队
8.0,179,253271,明日边缘
8.0,180,252712,猩球崛起
8.0,181,219904,后天
8.0,182,192930,加勒比海盗3：世界的尽头
8.0,183,184585,卧虎藏龙
8.0,184,160592,黑衣人
8.0,185,145234,我，机器人
8.0,186,120107,树大招风
8.0,187,114239,暗杀
8.0,188,101055,星际迷航
8.0,189,99573,终结者
8.0,190,82676,勇敢者的游戏
8.0,191,78630,秘密特工
8.0,192,77683,暴力街区
8.0,193,77197,天生杀人狂
8.0,194,73772,生死时速
8.0,195,65224,星球大战前传1：幽灵的威胁
8.0,196,57662,未知死亡
8.0,197,43374,狗咬狗
8.0,198,36374,乐高蝙蝠侠大电影
8.0,199,32111,孤独的幸存者
8.0,200,29956,天若有情
8.0,201,26192,座头市
8.0,202,25771,囚室211
8.0,203,21808,亡命天涯
8.0,204,18928,刀
8.0,205,18623,实尾岛
8.0,206,16766,飞天小女警 剧场版
8.0,207,14076,蝙蝠侠：黑暗骑士归来(上)
8.0,208,11020,少年菀得
8.0,209,10559,佐罗
8.0,210,6604,龙门客栈
8.0,211,5262,新独臂刀
8.0,212,5044,野鹅敢死队
8.0,213,3981,天劫余生
8.0,214,3645,痛击
8.0,215,2743,笑破铁幕
8.0,216,2741,侠僧探案传奇之大夜叉
8.0,217,1721,血洗鳄鱼仇
8.0,218,1695,达摩祖师
8.0,219,1010,美丽拳王
7.9,220,307674,功夫熊猫
7.9,221,231725,钢铁侠
7.9,222,225684,美国队长2
7.9,223,179856,疯狂的赛车
7.9,224,152476,星际迷航2：暗黑无界
7.9,225,142658,鹿鼎记
7.9,226,141999,独立日
7.9,227,133854,超人总动员
7.9,228,131150,碟中谍
7.9,229,131021,第五元素
7.9,230,107029,十一罗汉
7.9,231,63827,黄飞鸿
7.9,232,63215,异形2
7.9,233,60569,危情三日
7.9,234,37404,少林寺
7.9,235,27982,精英部队
7.9,236,24417,决战犹马镇
7.9,237,23953,猎杀U-571
7.9,238,20556,僵尸先生
7.9,239,18876,警戒结束
7.9,240,6442,斯巴达克斯
7.9,241,6176,蝙蝠侠：突袭阿卡姆
7.9,242,5911,红潮风暴
7.9,243,5399,洛奇3
7.9,244,4189,势不两立
7.9,245,2720,省港旗兵4：地下通道
7.9,246,2557,飞出个未来大电影3：班德的游戏
7.9,247,2195,天与地
7.9,248,1856,报仇
7.9,249,1717,第一类型危险
7.9,250,1611,猫头鹰
7.9,251,1287,众神与将军
7.9,252,1066,铁十字勋章
7.9,253,1003,斩
7.8,254,195316,食神
7.8,255,177549,金刚
7.8,256,136025,无间道3：终极无间
7.8,257,125556,杀死比尔2
7.8,258,124535,生化危机
7.8,259,112378,激战
7.8,260,102616,狂怒
7.8,261,88703,超级大坏蛋
7.8,262,85810,兰戈
